date,iso2,cumulative_cases,cumulative_negative_tests,cumulative_pending_tests,currently_hospitalized,currently_in_icu,cumulative_in_icu,currently_on_ventilator,cumulative_on_ventilator,cumulative_recovered,cumulative_deaths,cumulative_hospitalized,cumulative_test_results,deaths,hospitalized,negative_tests,cases,test_results,in_icu,on_ventilator,recovered
2020-03-06,US-FL,9.0,55.0,51.0,,,,,,,,,64,0.0,0.0,24.0,0.0,24.0,,,
2020-03-06,US-GA,2.0,,,,,,,,,,,2,0.0,0.0,0.0,0.0,0.0,,,
2020-03-06,US-IA,0.0,15.0,2.0,,,,,,,,,15,,,,,,,,
2020-03-06,US-IL,5.0,180.0,35.0,,,,,,,,,185,0.0,0.0,15.0,0.0,15.0,,,
2020-03-06,US-IN,1.0,,,,,,,,,,,1,,,,,,,,
2020-03-06,US-KS,0.0,4.0,0.0,,,,,,,,,4,,,,,,,,
2020-03-06,US-KY,0.0,7.0,3.0,,,,,,,,,7,,,,,,,,
2020-03-06,US-MA,8.0,,,,,,,,,,,8,0.0,0.0,0.0,6.0,6.0,,,
2020-03-06,US-MD,3.0,26.0,12.0,,,,,,,,,29,0.0,0.0,9.0,3.0,12.0,,,
2020-03-06,US-MI,0.0,8.0,8.0,,,,,,,,,8,0.0,0.0,0.0,0.0,0.0,,,
2020-03-06,US-MN,0.0,36.0,,,,,,,,,,36,,,,,,,,
2020-03-06,US-NC,2.0,,,,,,,,,,,2,0.0,0.0,0.0,1.0,1.0,,,
2020-03-06,US-NE,0.0,17.0,5.0,,,,,,,,,17,0.0,0.0,0.0,0.0,0.0,,,
2020-03-06,US-NH,2.0,20.0,3.0,,,,,,,,,22,0.0,0.0,4.0,0.0,4.0,,,
2020-03-06,US-NJ,1.0,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,,,
2020-03-06,US-NM,0.0,16.0,0.0,,,,,,,,,16,,,,,,,,
2020-03-06,US-NV,1.0,14.0,,,,,,,,,,15,0.0,0.0,0.0,0.0,0.0,,,
2020-03-06,US-NY,33.0,92.0,236.0,,,,,,,,,125,0.0,0.0,16.0,11.0,27.0,,,
2020-03-06,US-OH,0.0,8.0,2.0,,,,,,,,,8,0.0,0.0,1.0,0.0,1.0,,,
2020-03-06,US-OR,3.0,64.0,28.0,,,,,,,,,67,0.0,0.0,19.0,0.0,19.0,,,
2020-03-06,US-PA,2.0,,,,,,,,,,,2,,,,,,,,
2020-03-06,US-RI,3.0,17.0,,,,,,,,,,20,0.0,0.0,0.0,1.0,1.0,,,
2020-03-06,US-SC,0.0,5.0,,,,,,,,,,5,0.0,0.0,0.0,0.0,0.0,,,
2020-03-06,US-TN,1.0,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,,,
2020-03-06,US-TX,5.0,,,,,,,,,,,5,0.0,0.0,0.0,4.0,4.0,,,
2020-03-06,US-VA,0.0,21.0,10.0,,,,,,,,,21,0.0,0.0,3.0,0.0,3.0,,,
2020-03-06,US-VT,0.0,8.0,,,,,,,,,,8,,,,,,,,
2020-03-06,US-WA,149.0,370.0,,,,,,,,26.0,,519,6.0,0.0,370.0,53.0,423.0,,,
2020-03-06,US-WI,1.0,31.0,12.0,,,,,,,,,32,0.0,0.0,12.0,0.0,12.0,,,
2020-03-06,US-WV,0.0,1.0,4.0,,,,,,,,,1,,,,,,,,
2020-03-07,US-AK,0.0,12.0,2.0,,,,,,,,,12,0.0,0.0,4.0,0.0,4.0,,,
2020-03-07,US-AL,0.0,,,,,,,,,,,0,,,,,,,,
2020-03-07,US-AR,0.0,6.0,0.0,,,,,,,,,6,0.0,0.0,0.0,0.0,0.0,,,
2020-03-07,US-AZ,5.0,44.0,7.0,,,,,,,,,49,0.0,0.0,11.0,2.0,13.0,,,
2020-03-07,US-CA,69.0,462.0,,,,,,,,,,531,0.0,0.0,0.0,9.0,9.0,,,
2020-03-07,US-CO,8.0,55.0,69.0,,,,,,,,,63,0.0,0.0,9.0,6.0,15.0,,,
2020-03-07,US-CT,0.0,,,,,,,,,,,0,,,,,,,,
2020-03-07,US-DC,0.0,8.0,1.0,,,,,,,,,8,0.0,0.0,0.0,0.0,0.0,,,
2020-03-07,US-DE,0.0,10.0,0.0,,,,,,,,,10,0.0,0.0,0.0,0.0,0.0,,,
2020-03-07,US-FL,14.0,100.0,88.0,,,,,,,,,114,0.0,0.0,45.0,5.0,50.0,,,
2020-03-07,US-GA,6.0,,,,,,,,,,,6,0.0,0.0,0.0,4.0,4.0,,,
2020-03-07,US-HI,1.0,,,,,,,,,,,1,,,,,,,,
2020-03-07,US-IA,0.0,15.0,2.0,,,,,,,,,15,0.0,0.0,0.0,0.0,0.0,,,
2020-03-07,US-ID,0.0,27.0,,,,,,,,,,27,,,,,,,,
2020-03-07,US-IL,6.0,191.0,44.0,,,,,,,,,197,0.0,0.0,11.0,1.0,12.0,,,
2020-03-07,US-IN,1.0,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,,,
2020-03-07,US-KS,0.0,11.0,2.0,,,,,,,,,11,0.0,0.0,7.0,0.0,7.0,,,
2020-03-07,US-KY,1.0,9.0,3.0,,,,,,,,,10,0.0,0.0,2.0,1.0,3.0,,,
2020-03-07,US-LA,0.0,,,,,,,,,,,0,,,,,,,,
2020-03-07,US-MA,13.0,,,,,,,,,,,13,0.0,0.0,0.0,5.0,5.0,,,
2020-03-07,US-MD,3.0,41.0,12.0,,,,,,,,,44,0.0,0.0,15.0,0.0,15.0,,,
2020-03-07,US-ME,0.0,1.0,,,,,,,,,,1,,,,,,,,
2020-03-07,US-MI,0.0,18.0,9.0,,,,,,,,,18,0.0,0.0,10.0,0.0,10.0,,,
2020-03-07,US-MN,1.0,48.0,,,,,,,,,,49,0.0,0.0,12.0,1.0,13.0,,,
2020-03-07,US-MO,0.0,,,,,,,,,,,0,,,,,,,,
2020-03-07,US-MS,0.0,,,,,,,,,,,0,,,,,,,,
2020-03-07,US-MT,0.0,11.0,,,,,,,,,,11,,,,,,,,
2020-03-07,US-NC,2.0,,,,,,,,,,,2,0.0,0.0,0.0,0.0,0.0,,,
2020-03-07,US-ND,0.0,0.0,,,,,,,,,,0,,,,,,,,
2020-03-07,US-NE,1.0,17.0,5.0,,,,,,,,,18,0.0,0.0,0.0,1.0,1.0,,,
2020-03-07,US-NH,2.0,20.0,3.0,,,,,,,,,22,0.0,0.0,0.0,0.0,0.0,,,
2020-03-07,US-NJ,4.0,,1.0,,,,,,,,,4,0.0,0.0,0.0,3.0,3.0,,,
2020-03-07,US-NM,0.0,48.0,0.0,,,,,,,,,48,0.0,0.0,32.0,0.0,32.0,,,
2020-03-07,US-NV,1.0,14.0,,,,,,,,,,15,0.0,0.0,0.0,0.0,0.0,,,
2020-03-07,US-NY,76.0,92.0,236.0,,,,,,,,,168,0.0,0.0,0.0,43.0,43.0,,,
2020-03-07,US-OH,0.0,9.0,5.0,,,,,,,,,9,0.0,0.0,1.0,0.0,1.0,,,
2020-03-07,US-OK,1.0,,,,,,,,,,,1,,,,,,,,
2020-03-07,US-OR,7.0,77.0,40.0,,,,,,,,,84,0.0,0.0,13.0,4.0,17.0,,,
2020-03-07,US-PA,4.0,,,,,,,,,,,4,0.0,0.0,0.0,2.0,2.0,,,
2020-03-07,US-RI,2.0,30.0,,,,,,,,,,32,0.0,0.0,13.0,-1.0,12.0,,,
2020-03-07,US-SC,2.0,8.0,,,,,,,,,,10,0.0,0.0,3.0,2.0,5.0,,,
2020-03-07,US-SD,0.0,5.0,0.0,,,,,,,,,5,,,,,,,,
2020-03-07,US-TN,1.0,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,,,
2020-03-07,US-TX,8.0,,,,,,,,,,,8,0.0,0.0,0.0,3.0,3.0,,,
2020-03-07,US-UT,1.0,,,,,,,,,,,1,,,,,,,,
2020-03-07,US-VA,0.0,31.0,7.0,,,,,,,,,31,0.0,0.0,10.0,0.0,10.0,,,
2020-03-07,US-VT,0.0,16.0,,,,,,,,,,16,0.0,0.0,8.0,0.0,8.0,,,
2020-03-07,US-WA,180.0,370.0,66.0,,,,,,,27.0,,550,1.0,0.0,0.0,31.0,31.0,,,
2020-03-07,US-WI,1.0,31.0,12.0,,,,,,,,,32,0.0,0.0,0.0,0.0,0.0,,,
2020-03-07,US-WV,0.0,2.0,3.0,,,,,,,,,2,0.0,0.0,1.0,0.0,1.0,,,
2020-03-07,US-WY,0.0,,,,,,,,,,,0,,,,,,,,
2020-03-08,US-AK,0.0,14.0,6.0,,,,,,,,,14,0.0,0.0,2.0,0.0,2.0,,,
2020-03-08,US-AL,0.0,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,,,
2020-03-08,US-AR,0.0,6.0,0.0,,,,,,,,,6,0.0,0.0,0.0,0.0,0.0,,,
2020-03-08,US-AZ,5.0,44.0,7.0,,,,,,,,,49,0.0,0.0,0.0,0.0,0.0,,,
2020-03-08,US-CA,88.0,462.0,,,,,,,,,,550,0.0,0.0,0.0,19.0,19.0,,,
2020-03-08,US-CO,8.0,104.0,69.0,,,,,,,,,112,0.0,0.0,49.0,0.0,49.0,,,
2020-03-08,US-CT,1.0,29.0,8.0,,,,,,,,,30,0.0,0.0,29.0,1.0,30.0,,,
2020-03-08,US-DC,1.0,10.0,0.0,,,,,,,,,11,0.0,0.0,2.0,1.0,3.0,,,
2020-03-08,US-DE,0.0,10.0,0.0,,,,,,,,,10,0.0,0.0,0.0,0.0,0.0,,,
2020-03-08,US-FL,17.0,118.0,108.0,,,,,,,,,135,0.0,0.0,18.0,3.0,21.0,,,
2020-03-08,US-GA,7.0,,,,,,,,,,,7,0.0,0.0,0.0,1.0,1.0,,,
2020-03-08,US-HI,1.0,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,,,
2020-03-08,US-IA,0.0,15.0,2.0,,,,,,,,,15,0.0,0.0,0.0,0.0,0.0,,,
2020-03-08,US-ID,0.0,27.0,,,,,,,,,,27,0.0,0.0,0.0,0.0,0.0,,,
2020-03-08,US-IL,6.0,191.0,44.0,,,,,,,,,197,0.0,0.0,0.0,0.0,0.0,,,
2020-03-08,US-IN,2.0,,,,,,,,,,,2,0.0,0.0,0.0,1.0,1.0,,,
2020-03-08,US-KS,1.0,11.0,0.0,,,,,,,,,12,0.0,0.0,0.0,1.0,1.0,,,
2020-03-08,US-KY,1.0,13.0,3.0,,,,,,,,,14,0.0,0.0,4.0,0.0,4.0,,,
2020-03-08,US-LA,0.0,5.0,,,,,,,,,,5,0.0,0.0,5.0,0.0,5.0,,,
2020-03-08,US-MA,13.0,,,,,,,,,,,13,0.0,0.0,0.0,0.0,0.0,,,
2020-03-08,US-MD,3.0,52.0,12.0,,,,,,,,,55,0.0,0.0,11.0,0.0,11.0,,,
2020-03-08,US-ME,0.0,1.0,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,,,
2020-03-08,US-MI,0.0,26.0,10.0,,,,,,,,,26,0.0,0.0,8.0,0.0,8.0,,,
2020-03-08,US-MN,1.0,48.0,,,,,,,,,,49,0.0,0.0,0.0,0.0,0.0,,,
2020-03-08,US-MO,1.0,,,,,,,,,,,1,0.0,0.0,0.0,1.0,1.0,,,
