iso2,admin_level,name,osm_id,population,timezone,lat,long,wikidata_id,wikipedia_id,iso1
ID-SN,4,South Sulawesi,2388667,,Asia/Makassar,-3.71,120.17,Q5078,id:Sulawesi Selatan,ID
ID-SR,4,West Sulawesi,2388669,,Asia/Makassar,-2.46,119.34,Q5082,id:Sulawesi Barat,ID
ID-SS,4,South Sumatra,2390842,10675862.0,Asia/Jakarta,-3.21,104.17,Q2271,id:Sumatra Selatan,ID
ID-ST,4,Central Sulawesi,2388664,2633420.0,Asia/Makassar,-1.01,121.2,Q5065,id:Sulawesi Tengah,ID
ID-SU,4,North Sumatra,2390843,13527937.0,Asia/Jakarta,2.19,99.05,Q2140,id:Sumatra Utara,ID
ID-YO,4,Special Region of Yogyakarta,5616105,3542078.0,Asia/Jakarta,-7.9,110.45,Q3741,id:Daerah Istimewa Yogyakarta,ID
IE-CE,6,County Clare,334885,117096.0,Europe/Dublin,52.85,-9.03,Q181862,en:County Clare,IE
IE-CN,6,County Cavan,283679,73183.0,Europe/Dublin,53.99,-7.35,Q187402,en:County Cavan,IE
IE-CO,6,County Cork,332631,542196.0,Europe/Dublin,51.92,-8.84,Q162475,en:County Cork,IE
IE-CW,6,County Carlow,285977,56875.0,Europe/Dublin,52.73,-6.82,Q181882,en:County Carlow,IE
IE-D,6,County Dublin,282800,1270603.0,Europe/Dublin,53.39,-6.28,Q173500,en:County Dublin,IE
IE-DL,6,County Donegal,283732,161137.0,Europe/Dublin,54.92,-7.9,Q179424,en:County Donegal,IE
IE-G,6,County Galway,335444,258058.0,Europe/Dublin,53.36,-8.95,Q169923,en:County Galway,IE
IE-KE,6,County Kildare,285833,222130.0,Europe/Dublin,53.19,-6.82,Q173332,en:County Kildare,IE
IE-KK,6,County Kilkenny,285980,99232.0,Europe/Dublin,52.57,-7.23,Q180231,en:County Kilkenny,IE
IE-KY,6,County Kerry,332622,147707.0,Europe/Dublin,52.11,-9.72,Q184469,en:County Kerry,IE
IE-LD,6,County Longford,335445,40873.0,Europe/Dublin,53.71,-7.73,Q186220,,IE
IE-LH,6,County Louth,1763195,128375.0,Europe/Dublin,53.91,-6.41,Q183539,en:County Louth,IE
IE-LK,6,County Limerick,334898,195175.0,Europe/Dublin,52.49,-8.74,Q178283,en:County Limerick,IE
IE-LM,6,County Leitrim,284368,31798.0,Europe/Dublin,54.14,-8.02,Q107397,en:County Leitrim,IE
IE-LS,6,County Laois,285915,67012.0,Europe/Dublin,52.98,-7.36,Q55299,en:County Laois,IE
IE-MH,6,County Meath,282818,194942.0,Europe/Dublin,53.63,-6.73,Q183544,en:County Meath,IE
IE-MN,6,County Monaghan,283647,60483.0,Europe/Dublin,54.16,-6.92,Q184760,en:County Monaghan,IE
IE-MO,6,County Mayo,338539,130638.0,Europe/Dublin,53.92,-9.38,Q178626,en:County Mayo,IE
IE-OY,6,County Offaly,335442,78003.0,Europe/Dublin,53.21,-7.6,Q184445,en:County Offaly,IE
IE-RN,6,County Roscommon,335443,64436.0,Europe/Dublin,53.72,-8.25,Q179437,en:County Roscommon,IE
