fips,state_abbr,lat,long
05105,AR,34.946363,-92.926877
05107,AR,34.423687,-90.855593
05109,AR,34.158191,-93.658659
05111,AR,35.56887,-90.681104
05113,AR,34.490915,-94.230884
05115,AR,35.456557,-93.026818
05117,AR,34.831116,-91.55362
05119,AR,34.770311,-92.312996
05121,AR,36.341298,-91.028441
05123,AR,35.022838,-90.751505
05125,AR,34.648525,-92.674463
05127,AR,34.858869,-94.063641
05129,AR,35.896387,-92.695888
05131,AR,35.196981,-94.274989
05133,AR,33.994877,-94.243279
05135,AR,36.173399,-91.471069
05137,AR,35.857001,-92.140482
05139,AR,33.168219,-92.598145
05141,AR,35.582953,-92.515976
05143,AR,35.978001,-94.217269
05145,AR,35.255118,-91.753034
05147,AR,35.192777,-91.244535
05149,AR,34.997713,-93.408303
06001,CA,37.647139,-121.912488
06003,CA,38.621783,-119.798352
06005,CA,38.44355,-120.653856
06007,CA,39.665959,-121.601919
06009,CA,38.1839,-120.561441
06011,CA,39.177739,-122.237563
06013,CA,37.919479,-121.951543
06015,CA,41.763958,-124.003614
06017,CA,38.785612,-120.534225
06019,CA,36.761006,-119.655019
06021,CA,39.602546,-122.4017
06023,CA,40.706655,-123.926176
06025,CA,33.040814,-115.3554
06027,CA,36.561977,-117.403927
06029,CA,35.346629,-118.729506
06031,CA,36.072478,-119.81553
06033,CA,39.094802,-122.746757
06035,CA,40.721086,-120.629952
06037,CA,34.196398,-118.261862
06039,CA,37.209821,-119.749802
06041,CA,38.051817,-122.745974
06043,CA,37.57003,-119.912861
06045,CA,39.432388,-123.442881
06047,CA,37.194806,-120.722802
06049,CA,41.592918,-120.71837
06051,CA,37.915836,-118.875167
06053,CA,36.240107,-121.315572
06055,CA,38.5071,-122.325904
06057,CA,39.297508,-120.771343
06059,CA,33.675687,-117.777207
06061,CA,39.062032,-120.722718
06063,CA,39.992295,-120.824371
06065,CA,33.729828,-116.002239
06067,CA,38.450016,-121.340441
06069,CA,36.611651,-121.085811
06071,CA,34.85722,-116.181197
06073,CA,33.023604,-116.776117
06075,CA,37.727239,-123.032229
06077,CA,37.934982,-121.272244
06079,CA,35.385224,-120.447544
06081,CA,37.414672,-122.371546
06083,CA,34.537057,-120.039973
06085,CA,37.220695,-121.69051
06087,CA,37.012488,-122.007205
06089,CA,40.760514,-122.043556
06091,CA,39.576925,-120.521993
06093,CA,41.587986,-122.533287
06095,CA,38.267226,-121.939594
06097,CA,38.525182,-122.92611
06099,CA,37.562316,-121.002831
06101,CA,39.03619,-121.70394
06103,CA,40.126157,-122.232274
06105,CA,40.647803,-123.114476
06107,CA,36.228834,-118.781055
06109,CA,38.021434,-119.964733
06111,CA,34.358741,-119.133143
06113,CA,38.679596,-121.902441
06115,CA,39.27013,-121.344259
08001,CO,39.874325,-104.331872
08003,CO,37.568442,-105.788041
08005,CO,39.644554,-104.331706
08007,CO,37.202395,-107.050863
08009,CO,37.30978,-102.543741
08011,CO,37.931891,-103.077584
08013,CO,40.09497,-105.397691
08014,CO,39.953593,-105.050787
08015,CO,38.738223,-106.316683
08017,CO,38.835646,-102.601791
08019,CO,39.669732,-105.69257
08021,CO,37.213406,-106.176447
08023,CO,37.277547,-105.42894
08025,CO,38.30618,-103.772736
08027,CO,38.101996,-105.373512
08029,CO,38.861595,-107.864892
08031,CO,39.76185,-104.881105
08033,CO,37.711723,-108.524116
08035,CO,39.325414,-104.925987
08037,CO,39.626992,-106.695169
08039,CO,39.315157,-104.114076
08041,CO,38.827383,-104.527472
08043,CO,38.45517,-105.424958
08045,CO,39.599352,-107.90978
08047,CO,39.861156,-105.528878
08049,CO,40.113065,-106.110837
08051,CO,38.670499,-107.05688
08053,CO,37.821165,-107.338261
08055,CO,37.687815,-104.959928
08057,CO,40.663432,-106.329248
08059,CO,39.579511,-105.245462
08061,CO,38.387663,-102.756849
08063,CO,39.30534,-102.603023
08065,CO,39.205341,-106.350079
08067,CO,37.287367,-107.839718
08069,CO,40.658093,-105.486764
08071,CO,37.318831,-104.04411
08073,CO,38.99374,-103.507555
08075,CO,40.728091,-103.090464
08077,CO,39.019524,-108.460571
08079,CO,37.549067,-107.003236
08081,CO,40.610864,-108.217154
08083,CO,37.338025,-108.595786
08085,CO,38.407507,-108.266282
08087,CO,40.263159,-103.81221
08089,CO,37.88417,-103.72126
08091,CO,38.154731,-107.78848
08093,CO,39.118914,-105.717648
08095,CO,40.594712,-102.345105
08097,CO,39.217538,-106.916159
08099,CO,37.958181,-102.392161
08101,CO,38.170658,-104.489892
08103,CO,39.972622,-108.200716
08105,CO,37.485853,-106.453128
08107,CO,40.483664,-106.987702
08109,CO,38.031651,-106.234666
08111,CO,37.781049,-107.670257
08113,CO,38.009319,-108.427263
08115,CO,40.871568,-102.355358
08117,CO,39.621023,-106.137555
08119,CO,38.869976,-105.187365
08121,CO,39.96579,-103.209744
08123,CO,40.555961,-104.383666
08125,CO,40.00077,-102.421649
09001,CT,41.227413,-73.367061
09003,CT,41.806053,-72.732916
09005,CT,41.791883,-73.235404
09007,CT,41.433003,-72.52278
09009,CT,41.349718,-72.900203
09011,CT,41.472652,-72.108634
09013,CT,41.858081,-72.340978
09015,CT,41.824999,-71.990702
10001,DE,39.097088,-75.502982
10003,DE,39.575915,-75.644132
10005,DE,38.673227,-75.337024
11001,DC,38.904247,-77.016517
12001,FL,29.67574,-82.357221
12003,FL,30.324442,-82.302284
12005,FL,30.238218,-85.63168
12007,FL,29.952386,-82.166679
12009,FL,28.298311,-80.700333
12011,FL,26.193535,-80.476683
12013,FL,30.388801,-85.197915
12015,FL,26.868974,-81.941278
12017,FL,28.84364,-82.52481
12019,FL,29.986584,-81.865036
12021,FL,26.118786,-81.400955
12023,FL,30.221651,-82.623371
12027,FL,27.190581,-81.806253
12029,FL,29.580899,-83.195666
12031,FL,30.335245,-81.648113
12033,FL,30.611638,-87.3389
12035,FL,29.474891,-81.286253
12037,FL,29.810176,-84.799174
12039,FL,30.578687,-84.612607
12041,FL,29.723456,-82.795801
12043,FL,26.95481,-81.19082
12045,FL,29.907257,-85.256537
12047,FL,30.491187,-82.951071
12049,FL,27.492846,-81.82158
12051,FL,26.539967,-81.152114
12053,FL,28.573043,-82.466227
12055,FL,27.34108,-81.342353
12057,FL,27.906607,-82.349719
12059,FL,30.862007,-85.815939
12061,FL,27.700528,-80.574789
12063,FL,30.789249,-85.208814
12065,FL,30.424558,-83.890859
12067,FL,29.990066,-83.17851
12069,FL,28.764113,-81.712282
12071,FL,26.559035,-81.891994
12073,FL,30.45931,-84.2778
12075,FL,29.284457,-82.783462
12077,FL,30.259849,-84.86858
12079,FL,30.447233,-83.470416
12081,FL,27.481682,-82.368767
12083,FL,29.202805,-82.0431
12085,FL,27.083604,-80.398201
12086,FL,25.61058,-80.497099
12087,FL,24.768883,-80.95327
12089,FL,30.605963,-81.765087
12091,FL,30.665851,-86.594187
12093,FL,27.385592,-80.887388
12095,FL,28.514391,-81.323284
12097,FL,28.059027,-81.139312
12099,FL,26.649126,-80.448354
12101,FL,28.307711,-82.464832
12103,FL,27.903108,-82.739519
12105,FL,27.953649,-81.693534
12107,FL,29.593896,-81.732039
12109,FL,29.890487,-81.40004
12111,FL,27.379814,-80.443536
12113,FL,30.701269,-87.01289
12115,FL,27.184386,-82.365835
12117,FL,28.690092,-81.131989
12119,FL,28.714101,-82.074347
12121,FL,30.189244,-82.992754
12123,FL,30.009908,-83.609483
12125,FL,30.05428,-82.366918
12127,FL,29.057769,-81.161792
12129,FL,30.139432,-84.374846
12131,FL,30.631211,-86.176614
12133,FL,30.602217,-85.662797
13001,GA,31.739712,-82.290103
13003,GA,31.296806,-82.878151
13005,GA,31.55021,-82.451433
13007,GA,31.31958,-84.454881
13009,GA,33.05949,-83.255457
13011,GA,34.351922,-83.498441
13013,GA,33.992009,-83.712303
13015,GA,34.240917,-84.838188
13017,GA,31.740772,-83.147197
13019,GA,31.288652,-83.22787
13021,GA,32.808845,-83.694194
13023,GA,32.435403,-83.331717
13025,GA,31.197334,-81.982978
13027,GA,30.822934,-83.581905
13029,GA,32.017969,-81.438543
13031,GA,32.391711,-81.744021
13033,GA,33.060181,-82.000164
13035,GA,33.290355,-83.958221
13037,GA,31.521279,-84.62629
13039,GA,30.913358,-81.642019
13043,GA,32.40395,-82.071266
13045,GA,33.582237,-85.080527
13047,GA,34.900218,-85.139386
13049,GA,30.779904,-82.139644
13051,GA,31.980404,-81.085184
13053,GA,32.347445,-84.788021
13055,GA,34.474178,-85.345289
13057,GA,34.244317,-84.475057
13059,GA,33.952185,-83.367152
13061,GA,31.619831,-84.992583
13063,GA,33.542686,-84.355573
13065,GA,30.917653,-82.702614
13067,GA,33.93993,-84.574112
13069,GA,31.549245,-82.84494
13071,GA,31.189707,-83.769773
13073,GA,33.547631,-82.252296
13075,GA,31.152516,-83.429445
13077,GA,33.352897,-84.762138
13079,GA,32.709428,-83.979187
13081,GA,31.915148,-83.753531
13083,GA,34.852424,-85.506201
13085,GA,34.442608,-84.173261
13087,GA,30.880643,-84.58389
13089,GA,33.770661,-84.226343
13091,GA,32.164369,-83.167866
13093,GA,32.151995,-83.807167
13095,GA,31.532588,-84.20904
13097,GA,33.701242,-84.767314
13099,GA,31.324191,-84.906723
13101,GA,30.714008,-82.897376
13103,GA,32.36168,-81.343372
13105,GA,34.116413,-82.841909
13107,GA,32.5911,-82.299763
13109,GA,32.153083,-81.890153
13111,GA,34.866543,-84.317331
13113,GA,33.412717,-84.493941
13115,GA,34.263692,-85.213685
13117,GA,34.225143,-84.127408
13119,GA,34.375266,-83.227532
13121,GA,33.790034,-84.468182
13123,GA,34.690506,-84.454624
13125,GA,33.227491,-82.606913
13127,GA,31.21271,-81.49645
13129,GA,34.509667,-84.873862
13131,GA,30.875908,-84.24508
13133,GA,33.57674,-83.166613
13135,GA,33.959146,-84.023087
13137,GA,34.634392,-83.525875
13139,GA,34.317569,-83.8185
13141,GA,33.26922,-83.000465
13143,GA,33.795165,-85.220063
13145,GA,32.731549,-84.912432
13147,GA,34.348733,-82.96329
13149,GA,33.291347,-85.137886
13151,GA,33.452947,-84.154021
13153,GA,32.458287,-83.662522
13155,GA,31.604306,-83.277037
13157,GA,34.130905,-83.562557
13159,GA,33.316981,-83.689151
13161,GA,31.811615,-82.636825
13163,GA,33.058176,-82.420004
13165,GA,32.794563,-81.971524
13167,GA,32.694584,-82.66397
13169,GA,33.021664,-83.562196
13171,GA,33.07444,-84.146689
13173,GA,31.038197,-83.063164
13175,GA,32.39322,-82.926317
13177,GA,31.818419,-84.146681
13179,GA,31.807458,-81.457871
13181,GA,33.792151,-82.448299
13183,GA,31.749563,-81.74287
13185,GA,30.833145,-83.268995
13187,GA,34.56814,-83.998925
13189,GA,33.479623,-82.478733
13191,GA,31.488506,-81.372289
13193,GA,32.362686,-84.051231
13195,GA,34.128526,-83.203737
13197,GA,32.359312,-84.528735
13199,GA,33.029267,-84.667058
13201,GA,31.162931,-84.730398
13205,GA,31.228997,-84.192038
13207,GA,33.017435,-83.922938
13209,GA,32.172108,-82.533349
13211,GA,33.598696,-83.499435
13213,GA,34.797097,-84.73799
13215,GA,32.510197,-84.874946
13217,GA,33.544041,-83.855184
13219,GA,33.834125,-83.437728
13221,GA,33.866806,-83.074081
13223,GA,33.92103,-84.867169
13225,GA,32.571324,-83.831978
13227,GA,34.456746,-84.490351
13229,GA,31.353998,-82.21037
13231,GA,33.081224,-84.389848
13233,GA,33.996015,-85.188338
13235,GA,32.238803,-83.481845
13237,GA,33.32106,-83.37179
13239,GA,31.862938,-85.004798
13241,GA,34.883934,-83.40487
13243,GA,31.762651,-84.752311
13245,GA,33.361486,-82.074998
13247,GA,33.652081,-84.02637
13249,GA,32.263444,-84.322708
13251,GA,32.744751,-81.617585
13253,GA,30.93396,-84.867685
13255,GA,33.262348,-84.284905
13257,GA,34.552914,-83.290216
13259,GA,32.073225,-84.834912
13261,GA,32.042266,-84.204294
13263,GA,32.704603,-84.530029
